AngleSharp                                                 1.3.0         
AvalonEdit                                                 6.3.0.90      
BouncyCastle.Cryptography                                  2.3.1         
C1.Xaml.WPF                                                4.5.20213.755 
C1.Xaml.WPF.DX                                             4.5.20213.755 
C1.Xaml.WPF.FinancialChart                                 4.5.20213.755 
C1.Xaml.WPF.FlexChart                                      4.5.20213.755 
C1.Xaml.WPF.FlexChart.Extended                             4.5.20213.755 
C1.Xaml.WPF.FlexGrid                                       4.5.20213.755 
CefSharp.Wpf.NETCore                                       137.0.100     
ChilkatDnCore                                              11.2.0        
CoreWCF.Http                                               1.2.1         
CoreWCF.Primitives                                         1.2.1         
CoreWCF.WebHttp                                            1.2.1         
CsQuery.Signed                                             1.3.4-signed  
DocumentFormat.OpenXml                                     2.20.0        
Dropbox.Api                                                6.0.1         
Enums.NET                                                  4.0.1         
ExCSS                                                      4.2.3         
Extended.Wpf.Toolkit                                       3.8.2         
Google.Apis                                                1.68.0        
Google.Apis.Auth                                           1.68.0        
Google.Apis.Calendar.v3                                    1.68.0.3430   
Google.Apis.Core                                           1.68.0        
Google.Apis.Drive.v3                                       1.68.0.3428   
HtmlAgilityPack                                            1.11.46       
Ical.Net                                                   4.2.0         
Magick.NET.Core                                            14.8.1        
Magick.NET-Q8-AnyCPU                                       14.8.1        
MailBee.NET                                                12.3.1        
MathNet.Numerics.Signed                                    5.0.0         
MediatR.Contracts                                          2.0.1         
Microsoft.Bcl.AsyncInterfaces                              6.0.0         
Microsoft.Bcl.HashCode                                     1.1.1         
Microsoft.CodeAnalysis.Common                              4.8.0         
Microsoft.CodeAnalysis.CSharp                              4.8.0         
Microsoft.CodeAnalysis.VisualBasic                         4.8.0         
Microsoft.Data.SqlClient                                   5.2.2         
Microsoft.Data.Sqlite.Core                                 8.0.4         
Microsoft.Extensions.DependencyInjection                   8.0.1         
Microsoft.Extensions.DependencyInjection.Abstractions      8.0.2         
Microsoft.Extensions.Diagnostics                           8.0.1         
Microsoft.Extensions.Http                                  8.0.1         
Microsoft.Extensions.Logging                               8.0.1         
Microsoft.Extensions.Logging.Abstractions                  8.0.2         
Microsoft.Extensions.Options                               8.0.2         
Microsoft.Identity.Client                                  4.61.3        
Microsoft.IdentityModel.Abstractions                       6.35.0        
Microsoft.IdentityModel.JsonWebTokens                      6.35.0        
Microsoft.IdentityModel.Logging                            6.35.0        
Microsoft.IdentityModel.Tokens                             6.35.0        
Microsoft.IO.RecyclableMemoryStream                        3.0.0         
Microsoft.SqlServer.Server                                 1.0.0         
Microsoft.SqlServer.TransactSql.ScriptDom                  170.28.0      
Microsoft.Toolkit.Uwp.Notifications                        7.1.3         
Microsoft.Xades                                            1.0.7         
Microsoft.Xaml.Behaviors.Wpf                               1.1.135       
Newtonsoft.Json                                            13.0.3        
NLog                                                       4.7.15        
NodaTime                                                   3.0.0         
NPOI                                                       2.7.3         
PDFtoImage                                                 4.0.1         
Polly                                                      8.5.2         
Polly.Core                                                 8.5.2         
SharpZipLib                                                1.4.2         
SixLabors.Fonts                                            1.0.1         
SixLabors.ImageSharp                                       2.1.11        
SkiaSharp                                                  2.88.7        
SQLitePCLRaw.bundle_e_sqlite3                              2.1.6         
SQLitePCLRaw.core                                          2.1.6         
SQLitePCLRaw.provider.e_sqlite3                            2.1.6         
Stimulsoft.Reports.Engine                                  2024.2.1      
Stimulsoft.Reports.Wpf                                     2024.2.1      
Stimulsoft.Svg                                             2024.2.1      
Svg                                                        3.4.7         
System.Data.Odbc                                           8.0.0         
System.Data.OleDb                                          8.0.0         
System.Data.SqlClient                                      4.8.6         
System.DirectoryServices.AccountManagement                 8.0.0         
System.DirectoryServices.Protocols                         8.0.0         
System.Drawing.Common                                      8.0.8         
System.Formats.Asn1                                        8.0.1         
System.IdentityModel.Tokens.Jwt                            6.35.0        
System.IO.Ports                                            8.0.0         
System.Linq.Dynamic.Core                                   1.6.0.2       
System.Management                                          8.0.0         
System.Net.Http.WinHttpHandler                             8.0.0         
System.ServiceModel.Http                                   8.0.0         
System.ServiceModel.Primitives                             8.0.0         
System.ServiceProcess.ServiceController                    8.0.0         
TaskScheduler                                              2.8.16        
Telerik.Windows.Controls.DataVisualization.for.Wpf.Xaml    2022.2.621    
Telerik.Windows.Controls.FixedDocumentViewers.for.Wpf.Xaml 2022.2.621    
Telerik.Windows.Controls.for.Wpf.Xaml                      2022.2.621    
Telerik.Windows.Controls.ImageEditor.for.Wpf.Xaml          2022.2.621    
Telerik.Windows.Controls.Input.for.Wpf.Xaml                2022.2.621    
Telerik.Windows.Controls.Navigation.for.Wpf.Xaml           2022.2.621    
Telerik.Windows.Controls.RibbonView.for.Wpf.Xaml           2022.2.621    
Telerik.Windows.Controls.RichTextBox.for.Wpf.Xaml          2022.2.621    
Telerik.Windows.Data.for.Wpf.Xaml                          2022.2.621    
Telerik.Windows.Documents.Core                             2022.2.613    
Telerik.Windows.Documents.Fixed                            2022.2.613    
Telerik.Windows.Documents.Flow                             2022.2.613    
Telerik.Windows.Zip                                        2022.2.613    
VirtualizingWrapPanel                                      1.5.7         
XpsToPdf                                                   1.0.6         
YamlDotNet                                                 13.0.2        
